Team,Player,SofascoreScore
Wolverhampton,Matt Doherty,6.79
Sheffield United,Vinicius Souza,6.79
Brentford,Frank Onyeka,6.79
Aston Villa,Jacob Ramsey,6.78
Aston Villa,Clément Lenglet,6.78
Fulham,Adama Traoré,6.77
Wolverhampton,Toti Gomes,6.77
Nottingham Forest,Harry Toffolo,6.77
Nottingham Forest,Gonzalo Montiel,6.77
Newcastle United,Lewis Hall,6.76
West Ham United,George Earthy,6.76
Burnley,David Datro Fofana,6.76
West Ham United,Maxwel Cornet,6.76
Nottingham Forest,Ibrahim Sangaré,6.76
Bournemouth,Illia Zabarnyi,6.76
Nottingham Forest,Gio Reyna,6.75
Aston Villa,Álex Moreno,6.75
Luton Town,Tahith Chong,6.75
Manchester United,Mason Mount,6.75
Luton Town,Marvelous Nakamba,6.75
Luton Town,Cauley Woodrow,6.75
Crystal Palace,Jeffrey Schlupp,6.75
Nottingham Forest,Ola Aina,6.75
Fulham,Calvin Bassey,6.75
Crystal Palace,Jesurun Rak Sakyi,6.74
Burnley,Michael Obafemi,6.74
West Ham United,Kurt Zouma,6.74
West Ham United,Vladimír Coufal,6.74
Brighton & Hove Albion,Facundo Buonanotte,6.74
Newcastle United,Joe Willock,6.74
Manchester United,Facundo Pellistri,6.74
Luton Town,Jacob Brown,6.73
Luton Town,Andros Townsend,6.73
Fulham,Harrison Reed,6.73
West Ham United,Michail Antonio,6.73
Newcastle United,Emil Krafth,6.73
Brentford,Shandon Baptiste,6.73
Sheffield United,Ivo Grbić,6.73
Everton,Beto,6.73
Bournemouth,Milos Kerkez,6.73
Manchester United,Anthony Martial,6.73
West Ham United,Saïd Benrahma,6.73
Bournemouth,Lloyd Kelly,6.72
Nottingham Forest,Nuno Tavares,6.72
Nottingham Forest,Moussa Niakhate,6.72
Sheffield United,Cameron Archer,6.72
Liverpool,Curtis Jones,6.72
Burnley,Charlie Taylor,6.72
Manchester City,Sergio Gómez,6.72
Burnley,Maxime Estève,6.71
Brighton & Hove Albion,Carlos Baleba,6.71
West Ham United,Pablo Fornals,6.71
Brighton & Hove Albion,Ansu Fati,6.71
Luton Town,Elijah Adebayo,6.71
Bournemouth,Chris Mepham,6.71
Wolverhampton,Jean-Ricner Bellegarde,6.71
Fulham,Saša Lukić,6.71
Manchester United,Lisandro Martínez,6.71
Sheffield United,Oliver Norwood,6.71
Brentford,Keane Lewis-Potter,6.71
Nottingham Forest,Orel Mangala,6.71
Bournemouth,David Brooks,6.71
Aston Villa,Leander Dendoncker,6.71
Wolverhampton,Nélson Semedo,6.71
Arsenal,Jurriën Timber,6.7
Chelsea,Lesley Ugochukwu,6.7
Bournemouth,Justin Kluivert,6.7
Luton Town,Amari'i Bell,6.7
Brighton & Hove Albion,Jason Steele,6.7
Bournemouth,Adam Smith,6.7
Everton,André Gomes,6.69
Brentford,Kevin Schade,6.69
Newcastle United,Matt Ritchie,6.69
Brentford,Saman Ghoddos,6.69
Tottenham Hotspur,Radu Drăgușin,6.69
Sheffield United,Jack Robinson,6.69
